Ингредиент,"Белки, г","Жиры, г","Углеводы, г","Энергетическая ценность, кКал","Клетчатка, г","Лактоза, г","Глютен, г","Стоимость, руб/кг",Тэг
Кэроб гам,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2852.0,"#добавки, #источник_клетчатки"
Конжаковая камедь,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1794.0,"#добавки, #источник_клетчатки"
Альгинат натрия,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1840.0,"#добавки, #источник_клетчатки"
Кислота лимонная,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,#добавки
Кислота яблочная,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,#добавки
Кислота молочная,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,#добавки
Водорастворимая клетчатка (Биоцель),0.0,0.0,0.0,0.0,94.0,0.0,0.0,245.0,"#добавки, #источник_клетчатки"
Добавка 1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1000.0,"#добавки, #источник_клетчатки"
Добавка 2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1000.0,"#добавки, #источник_клетчатки"
HPMC (Гидроксипропил Метилцеллюлоза) Е-464,0.0,0.0,0.0,0.0,100.0,0.0,0.0,464.0,"#добавки, #источник_клетчатки"
Пектин низкоэритифицированный,0.0,0.0,0.0,0.0,100.0,0.0,0.0,600.0,"#добавки, #источник_клетчатки"
Пектин высокоэритифицированный,0.0,0.0,0.0,0.0,100.0,0.0,0.0,700.0,"#добавки, #источник_клетчатки"
Эмульгатор ПГПР Е-476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,400.0,#добавки
Лецитин соевый,0.0,80.0,0.0,772.0,0.0,0.0,0.0,270.0,"#добавки, #аллерген, соя"
